kind,word,devanagari,category,severity
word,bhenchod,भेनचोद,sexual_expletive,high
word,murkha,मूर्ख,derogatory,low
word,badmas,बदमास,derogatory,low
word,sala,साला,derogatory,low
word,saley,साले,derogatory,low
word,sali,साली,derogatory,low
word,chhakka,छक्का,transphobic_slur,high
word,lauro,लौरो,anatomical,medium
word,chhucho,छुच्चो,derogatory,low
word,chhuchi,छुच्ची,derogatory,low
word,gu,गु,scatological,low
word,gukhane,गुखाने,scatological,medium
word,gand,गाण्ड,anatomical,high
word,gaand,गाण्ड,anatomical,high
word,gandako,गाण्डको,anatomical,high
word,lund,लुण्ड,anatomical,high
word,lundra,लुन्ड्रा,anatomical,high
word,lundri,लुन्ड्री,anatomical,high
word,chod,चोद,sexual_expletive,high
word,chodna,चोद्ना,sexual_expletive,high
word,chodeko,चोदेको,sexual_expletive,high
word,thukk,थुक,derogatory,low
word,nalayak,नालायक,derogatory,low
word,beijjat,बेइज्जत,derogatory,low
word,nikamma,निकम्मा,derogatory,low
word,fohor,फोहोर,derogatory,low
word,ghinlagdo,घिनलाग्दो,derogatory,low
word,beshya,वेश्या,gendered_slur,high
word,hijada,हिजडा,transphobic_slur,high
word,kamina,कमिना,derogatory,medium
word,haramzada,हरामजादा,derogatory,high
word,paji,पाजी,derogatory,low
word,moot,मूत,scatological,low
word,bhate,भाते,derogatory,low
word,turi,तुरी,anatomical,high
word,toori,तुरी,anatomical,high
word,pakhe,पाखे,classist_slur,medium
word,condo,कोन्डो,anatomical,high
word,kando,काण्डो,anatomical,high
word,kundo,कुन्डो,anatomical,high
word,chaak,चाक,anatomical,medium
word,gula,गुला,anatomical,high
word,bajiya,बजिया,derogatory,medium
word,torpe,टोर्पे,derogatory,low
word,mukhulla,मुखुल्ला,derogatory,low
word,gobre,गोबरे,scatological,low
word,bhusya,भुस्या,derogatory,low
word,dhurt,धूर्त,derogatory,low
word,kano,कानो,ableist_slur,medium
word,lato,लाटो,ableist_slur,low
word,lati,लाटी,ableist_slur,low
leet,m4chikne,माचिक्ने,sexual_expletive,high
leet,m@chikne,माचिक्ने,sexual_expletive,high
leet,m3chikne,माचिक्ने,sexual_expletive,high
leet,r4ndi,राण्डी,gendered_slur,high
leet,r@ndi,राण्डी,gendered_slur,high
leet,m00ji,मुजी,sexual_slang,high
leet,m00z1,मुजी,sexual_slang,high
leet,l4do,लाडो,anatomical,high
leet,l@do,लाडो,anatomical,high
leet,chut1ya,चुतिया,derogatory,high
leet,f4ck,फक,english_profanity,high
phrase,chaak ko pwal,चाकको प्वाल,anatomical,high
phrase,tero aama ko,तेरो आमाको,sexual_expletive,high
phrase,muji jasto,मुजी जस्तो,sexual_slang,high
phrase,lado khaye,लाडो खाए,sexual_slang,high
phrase,lado khos,लाडो खोस्,sexual_slang,high
phrase,randi ko choro,राण्डीको छोरो,gendered_slur,high
phrase,randi ko ban,राण्डीको बान,gendered_slur,high
phrase,gand fatchya,गाण्ड फाट्या,anatomical_slur,high
phrase,gand mara,गाण्ड मरा,anatomical_slur,high
phrase,geda jasto,गेडा जस्तो,derogatory,medium
phrase,geda khaya,गेडा खाया,derogatory,medium
phrase,khatako choro,खातेको छोरो,classist_slur,high
phrase,bhaluko ban,भालुको बान,gendered_slur,high
phrase,machikne khate,माचिक्ने खाते,sexual_expletive,high
phrase,pesa garne,पेसा गर्ने,gendered_slur,medium
phrase,sasto manche,सस्तो मान्छे,derogatory,low
stem,fuck,फक,english_profanity,high
stem,motherfuck,मादरफक,english_profanity,high
stem,bitch,बिच,english_profanity,high
stem,bastard,बास्टार्ड,english_profanity,high
stem,asshol,्यासहोल,english_profanity,high
stem,cunt,कन्ट,english_profanity,high
stem,whore,होर,english_profanity,high
stem,slut,स्लट,english_profanity,high
stem,wank,वाङ्क,english_profanity,medium
stem,retard,रिटार्ड,ableist_slur,high
stem,machikn,माचिक्न,sexual_expletive,high
stem,mchikn,मचिक्न,sexual_expletive,high
stem,chutiy,चुतिय,derogatory,high
stem,bhosd,भोस्ड,derogatory,high
stem,madarch,मादरच,sexual_expletive,high
stem,behench,बहनच,sexual_expletive,high
stem,bhench,भेनच,sexual_expletive,high
stem,chikn,चिक्न,sexual_expletive,high
stem,chickn,चिक्न,sexual_expletive,high
stem,chod,चोद,sexual_expletive,high
stem,lund,लुण्ड,anatomical,high
stem,rand,रण्ड,gendered_slur,high
stem,jath,जाठ,anatomical,high
stem,cond,कोन्ड,anatomical,high
stem,kand,कान्ड,anatomical,high
suffix,haruko,हरूको,grammar,low
suffix,harule,हरूले,grammar,low
suffix,haru,हरू,grammar,low
suffix,ko,को,grammar,low
suffix,ki,की,grammar,low
suffix,ka,का,grammar,low
suffix,le,ले,grammar,low
suffix,lai,लाई,grammar,low
suffix,ma,मा,grammar,low
suffix,bata,बाट,grammar,low
suffix,sanga,संग,grammar,low
suffix,ni,नि,grammar,low
suffix,ne,ने,grammar,low
suffix,yo,यो,grammar,low
word,fack,,,
word,fag,,,
word,fags,,,
word,faggot,,,
word,faggots,,,
word,fagot,,,
word,faggy,,,
word,nigger,,,
word,niggers,,,
word,nigga,,,
word,niggas,,,
word,tranny,,,
word,kike,,,
word,shitface,,,
word,shithole,,,
word,dipshit,,,
word,horseshit,,,
word,batshit,,,
word,apeshit,,,
word,jackass,,,
word,asshat,,,
word,asswipe,,,
word,cocksucker,,,
word,jizz,,,
word,dildo,,,
word,skank,,,
word,douchebag,,,
word,motherfucker,,,
word,bollocks,,,
word,bellend,,,
word,crap,,,
word,crappy,,,
word,bugger,,,
word,douche,,,
word,jerk,,,
word,scumbag,,,
word,dumb,,,
word,wtf,,,
word,stfu,,,
word,tits,,,
word,boobs,,,
word,porn,,,
word,porno,,,
word,horny,,,
word,bimbo,,,
word,thot,,,
word,spic,,,
word,chink,,,
word,dyke,,,
word,hoe,,,
word,cum,,,
word,prick,,,
word,damn,,,
word,rape,,,
word,khatey,,,
word,mooji,,,
word,moozi,,,
word,mechikne,,,
word,chhakke,,,
word,maxikne,,,
word,mxikne,,,
word,xutiya,,,
word,xutia,,,
word,chhutiya,,,
word,chootiya,,,
word,xikne,,,
word,jhant,,,
word,jhaant,,,
word,jhantu,,,
word,lauda,,,
word,lavda,,,
word,lawda,,,
word,loda,,,
word,lwado,,,
word,lwada,,,
word,bhosda,,,
word,bhosri,,,
word,chhinal,,,
word,chhinar,,,
word,besya,,,
word,maachod,,,
word,madarchood,,,
word,nindaniya,,,
word,chhura,,,
word,gadha,,,
word,ullu,,,
word,badmash,,,
word,thukka,,,
word,haramkhor,,,
word,fataha,,,
word,,मुजि,,
word,,रन्डी,,
word,,रंडी,,
word,,रांडी,,
word,,लांडो,,
word,,गान्डु,,
word,,गांडु,,
word,,भोस्डी,,
word,,भोस्डीके,,
word,,गान्ड,,
word,,गान्डको,,
word,,लुंड,,
word,,कोंडो,,
word,,छिनाल,,
word,,झांट,,
word,,झाँट,,
word,,लौडा,,
word,,लवडा,,
word,,मुर्ख,,
word,,किचकिच,,
word,,थुक्क,,
word,,निन्दनीय,,
word,,छुरा,,
word,,गधा,,
word,,उल्लु,,
word,,उल्लू,,
word,,बदमाश,,
word,,थुक्का,,
word,,हरामखोर,,
word,,फटाहा,,
stem,shit,,,
stem,nigger,,,
stem,cocksuck,,,
stem,bullshit,,,
stem,dickhead,,,
stem,douchebag,,,
stem,jizz,,,
stem,dildo,,,
stem,xutiy,,,
stem,chhutiy,,,
stem,maxikn,,,
stem,jhant,,,
phrase,teri maa ki,,,
phrase,teri ma ki,,,
phrase,gu khane,,,
phrase,gu khaa,,,
phrase,,चाक को प्वाल,,
infix,fuck,,,
infix,cunt,,,
infix,bitch,,,
infix,whore,,,
infix,nigger,,,
infix,faggot,,,
infix,jizz,,,
